what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1349249860066
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1349249860929
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1349249874677
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1349249875994
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1349249892229
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1349249892671
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349249893116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349249895000
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1349249895110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349249915218
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1349249921919
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349249930590
closed,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1349249930591
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349249956511
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349249962357
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349250014751
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349250016353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349250017581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349250064836
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349250066910
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349250069938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349250071343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349250079212
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349250086040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349250087204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349250145729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349250160017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349250216309
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1349250229056
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349250230543
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349250250912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349250252017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349250257503
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349250261981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349250273989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349250288003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349250289399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349250300987
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349250319649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349250319887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349250319916
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349250324495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349250936773
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1349250938832
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349250940204
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1349250941348
