what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1349546078104
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1349546078112
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1349546078117
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1349546078121
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1349546078162
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1349546078169
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1349546078455
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1349546078456
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1349546078458
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1349546078458
os,sysinfo,,,"win32",1349546078651
arch,sysinfo,,,"x86",1349546078651
ws,sysinfo,,,"win32",1349546078651
locale,sysinfo,,,"en_US",1349546078651
processors,sysinfo,,,"2",1349546078651
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1349546078651
java.runtime.version,sysinfo,,,"1.7.0_05-b06",1349546078651
java.specification.name,sysinfo,,,"Java Platform API Specification",1349546078651
java.specification.vendor,sysinfo,,,"Oracle Corporation",1349546078651
java.specification.version,sysinfo,,,"1.7",1349546078651
java.vendor,sysinfo,,,"Oracle Corporation",1349546078651
java.version,sysinfo,,,"1.7.0_05",1349546078651
java.vm.info,sysinfo,,,"mixed mode",1349546078651
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1349546078651
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1349546078651
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1349546078651
java.vm.specification.version,sysinfo,,,"1.7",1349546078651
java.vm.vendor,sysinfo,,,"Oracle Corporation",1349546078651
java.vm.version,sysinfo,,,"23.1-b03",1349546078651
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1349546078701
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1349546079901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349546084313
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1349546084622
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349546091892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349546106381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349546106473
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349546107369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349546132869
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1349546146750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1349546148909
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349546151756
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1349546228528
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1349546228754
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1349546229449
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1349546229798
started,bundle,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms",1349546230499
started,bundle,com.android.ide.eclipse.traceview,18.0.0.v201203301601-306762,"com.android.ide.eclipse.traceview",1349546232023
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1349546325624
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1349546453224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349546454944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349546456054
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1349546457450
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1349546458588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349546459811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349546978349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349546978386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349546980611
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1349546981071
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1349546981797
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1349546982318
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1349546982337
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1349546982363
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1349546982368
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1349546982386
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1349546982392
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1349546982395
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1349546982395
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,18.0.0.v201203301601-306762,"overlay.com.android.ide.eclipse.adt.overlay",1349546982422
stopped,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1349546982422
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1349546982430
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1349546982437
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1349546982450
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1349546982450
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1349546982457
